KEY,ES,EN
"--ITEMS DB--"," Items ",""
"It_n_CL","Cristal Liquido",""
"It_d_CL","",""
"It_n_CI","Circuitos integrados",""
"It_d_CI","",""
"It_n_FO","Fibra óptica",""
"It_d_FO","",""
"It_n_FP","Fibra Plastica",""
"It_d_FP","",""
"It_n_FCa","Fibra de Carbono",""
"It_d_FCa","",""
"It_n_FT","Fibra de Titanio",""
"It_d_FT","",""
"It_n_FG","Fibra de Grafeno",""
"It_d_FG","",""
"It_n_FA","Fibra de Aluminio",""
"It_d_FA","",""
"It_n_FCo","Fibra de Cobre",""
"It_d_FCo","",""
"It_n_NA","Nanites",""
"It_d_NA","",""
"It_n_PT","Polímero termoplástico",""
"It_d_PT","",""
"It_n_GE","Gel Energetico",""
"It_d_GE","",""
