KEY,ES,EN
"--ScnMnHabilidades--","Fuerza",""
"MnTal_LbTit","Habilidades","Habilities"
"                                  ","Fuerza",""
"HF1t","Fuerza 1","Strench 1"
"HF1d","Cargar +5%","Carry + 5%"
"HF2t","Fuerza 2","Strench 2"
"HF2d","Cargar +10%","Carry +10%"
"HF3t","Fuerza 3","Strench 3"
"HF3d","Cargar +15%","Carry +15%"
"HF4t","Fuerza 4","Strench 4"
"HF4d","Cargar +20%","Carry +20%"
"                                  ","Fuerza 2","Dagas"
"HF2a1t","Dagas 1","Daggers 1"
"HF2a1d","Daño +5%","Damage +5%"
"HF2a2t","Dagas 2","Daggers 2"
"HF2a2d","Daño +10%","Damage +10%"
"HF2a3t","Dagas 3","Daggers 3"
"HF2a3d","Daño +15%","Damage +15%"
"HF2a4t","Dagas 4","Daggers 4"
"HF2a4d","Daño +20%","Damage +20%"
"                                  ","Fuerza 3","Espadas"
"HF3a1t","Espadas 1","Swords 1"
"HF3a1d","Daño +5%","Damage +5%"
"HF3a2t","Espadas 2","Swords 2"
"HF3a2d","Daño +10%","Damage +10%"
"HF3a3t","Espadas 3","Swords 3"
"HF3a3d","Daño +15%","Damage +15%"
"HF3a4t","Espadas 4","Swords 4"
"HF3a4d","Daño +20%","Damage +20%"
"                                  ","Fuerza 2","Latigos"
"HF4a1t","Latigos 1","Whips 1"
"HF4a1d","Daño +5%","Damage +5%"
"HF4a2t","Latigos 2","Whips 2"
"HF4a2d","Daño +10%","Damage +10%"
"HF4a3t","Latigos 3","Whips 3"
"HF4a3d","Daño +15%","Damage +15%"
"HF4a4t","Latigos 4","Whips 4"
"HF4a4d","Daño +20%","Damage +20%"
"                                  ","Defensa",""
"HD1t","Defensa 1","Defense 1"
"HD1d","Daño - 5%","Damage - 5%"
"HD2t","Defensa 2","Defense 2"
"HD2d","Daño -10%","Damage -10%"
"HD3t","Defensa 3","Defense 3"
"HD3d","Daño -15%","Damage -15%"
"HD4t","Defensa 4","Defense 4"
"HD4d","Daño -20%","Damage -20%"
"                                  ","Defensa 2","Ligeras"
"HD2a1t","H-Ligeras 1","L-Armor 1"
"HD2a1d","Tela","Fabric"
"HD2a2t","H-Ligeras 2","L-Armor 2"
"HD2a2d","Cuero","Leather"
"HD2a3t","H-Ligeras 3","L-Armor 3"
"HD2a3d","Kevlar","Kevlar"
"                                  ","Defensa 3","Pesadas"
"HD3a1t","H-Pesadas 1","H-Armor 1"
"HD3a1d","Malla","Mesh"
"HD3a2t","H-Pesadas 2","H-Armor 2"
"HD3a2d","Solida","Solid"
"HD3a3t","H-Pesadas 3","H-Armor 3"
"HD3a3d","Placas","Plates"
"                                  ","Defensa 4","Energeticas"
"HD4a1t","H-Energia 1","Energy-A 1"
"HD4a1d","Estatica","Static"
"HD4a2t","H-Energia 2","Energy-A 2"
"HD4a2d","Cinetica","Kinetics"
"HD4a3t","H-Energia 3","Energy-A 3"
"HD4a3d","Kinetics +","Kinetics +"
"                                  ","Agilidad",""
"HA1t","Agilidad 1","Agility 1"
"HA1d","Esquiva + 5%","Dodge + 5%"
"HA2t","Agilidad 2","Agility 2"
"HA2d","Esquiva +10%","Dodge +10%"
"HA3t","Agilidad 3","Agility 3"
"HA3d","Esquiva +15%","Dodge +15%"
"HA4t","Agilidad 4","Agility 4"
"HA4d","Esquiva +20%","Dodge +20%"
"                                  ","Agilidad 2","Esconderse"
"HA2a1t","Esconderse 1","Hide 1"
"HA2a1d","Zona -5%","Zone -5%"
"HA2a2t","Esconderse 2","Hide 2"
"HA2a2d","Zona -10%","Zone -10%"
"HA2a3t","Esconderse 3","Hide 3"
"HA2a3d","Zona -15%","Zone -15%"
"HA2a4t","Esconderse 4","Hide 4"
"HA2a4d","Zona -20%","Zone -20%"
"                                  ","Agilidad 3","Sigilo"
"HA3a1t","Sigilo 1","Stealth 1"
"HA3a1d","Zona -5%","Zone -5%"
"HA3a2t","Sigilo 2","Stealth 2"
"HA3a2d","Zona -10%","Zone -10%"
"HA3a3t","Sigilo 3","Stealth 3"
"HA3a3d","Zona -15%","Zone -15%"
"HA3a4t","Sigilo 4","Stealth 4"
"HA3a4d","Zona -20%","Zone -20%"
"                                  ","Agilidad 4","Asesinato"
"HA4a1t","Asesinato 1","Murder 1"
"HA4a1d","Alcance +5%","Scope +5%"
"HA4a2t","Asesinato 2","Murder 2"
"HA4a2d","Alcance +10%","Scope +10%"
"HA4a3t","Asesinato 3","Murder 3"
"HA4a3d","Alcance +15%","Scope +15%"
"HA4a4t","Asesinato 4","Murder 4"
"HA4a4d","Alcance +20%","Scope +20%"
"                                  ","Precepcion",""
"HP1t","Percepción 1","Perception 1"
"HP1d","Tesoros + 5%","Treasures - 5%"
"HP2t","Percepción 2","Perception 2"
"HP2d","Tesoros +10%","Treasures -10%"
"HP3t","Percepción 3","Perception 3"
"HP3d","Tesoros +15%","Treasures -15%"
"HP4t","Percepción 4","Perception 4"
"HP4d","Tesoros +20%","Treasures -20%"
"                                  ","Precepcion","Trampas"
"HP2a1t","Trampas 1","Tramaps 1"
"HP2a1d","Detectar Tramaps","Detect Tramaps"
"HP2a2t","Trampas 2","Tramaps 2"
